method,duration_clock,duration_mono,duration_sys,n_mpi_process,x_grid_cuda,y_grid_cuda,x_block_cuda,y_block_cuda,interaction
cuda,2.117262,4.248064 ,4.248061,,32.0,32.0,16.0,16.0,25
cuda,2.243690,5.189283 ,5.189281,,32.0,32.0,16.0,16.0,26
cuda,2.218938,4.939029 ,4.939028,,32.0,32.0,16.0,16.0,27
cuda,2.192267,5.976087 ,5.976086,,32.0,32.0,16.0,16.0,28
cuda,2.529002,5.303686 ,5.303684,,32.0,32.0,16.0,16.0,29
cuda,2.374037,4.369117 ,4.369116,,32.0,32.0,16.0,16.0,30
cuda,2.509934,4.688728 ,4.688727,,32.0,32.0,16.0,16.0,31
cuda,3.066103,4.987652 ,4.987651,,32.0,32.0,16.0,16.0,32
cuda,2.186372,4.704682 ,4.704682,,32.0,32.0,16.0,16.0,33
cuda,2.509416,4.404666 ,4.404665,,32.0,32.0,16.0,16.0,34
cuda,2.198596,4.436530 ,4.436528,,32.0,32.0,16.0,16.0,35
cuda,2.935477,5.841055 ,5.841053,,32.0,32.0,16.0,16.0,36
cuda,2.091122,4.470782 ,4.470782,,32.0,32.0,16.0,16.0,37
cuda,2.087403,6.507222 ,6.507221,,32.0,32.0,16.0,16.0,38
cuda,2.510165,5.426598 ,5.426596,,32.0,32.0,16.0,16.0,39
cuda,2.106785,5.126696 ,5.126694,,32.0,32.0,16.0,16.0,40
cuda,2.542512,4.885842 ,4.885840,,32.0,32.0,16.0,16.0,41
cuda,2.811456,4.837445 ,4.837444,,32.0,32.0,16.0,16.0,42
cuda,2.403518,4.668468 ,4.668466,,32.0,32.0,16.0,16.0,43
cuda,2.215782,5.084586 ,5.084585,,32.0,32.0,16.0,16.0,44
cuda,2.140810,6.042044 ,6.042042,,32.0,32.0,16.0,16.0,45
cuda,2.436107,4.619814 ,4.619813,,32.0,32.0,16.0,16.0,46
cuda,2.094011,4.397938 ,4.397936,,32.0,32.0,16.0,16.0,47
cuda,2.119583,6.320938 ,6.320937,,32.0,32.0,16.0,16.0,48
cuda,2.074027,4.367786 ,4.367785,,32.0,32.0,16.0,16.0,49
cuda,2.260259,4.598718 ,4.598716,,32.0,32.0,16.0,16.0,50
cuda,2.148941,4.535103 ,4.535101,,32.0,32.0,16.0,16.0,51
cuda,2.074442,4.632412 ,4.632411,,32.0,32.0,16.0,16.0,52
cuda,2.121778,4.193774 ,4.193773,,32.0,32.0,16.0,16.0,53
cuda,3.042799,5.322697 ,5.322695,,32.0,32.0,16.0,16.0,54
cuda,2.079466,3.971777 ,3.971775,,32.0,32.0,16.0,16.0,55
cuda,2.275287,6.396703 ,6.396702,,32.0,32.0,16.0,16.0,56
cuda,2.469903,4.986347 ,4.986346,,32.0,32.0,16.0,16.0,57
cuda,2.742990,4.795508 ,4.795507,,32.0,32.0,16.0,16.0,58
cuda,2.209622,5.246577 ,5.246576,,32.0,32.0,16.0,16.0,59
cuda,2.413877,5.260678 ,5.260677,,32.0,32.0,16.0,16.0,60
cuda,1.577881,2.741365 ,2.741364,,32.0,32.0,16.0,16.0,61
cuda,1.920864,2.680347 ,2.680346,,32.0,32.0,16.0,16.0,62
cuda,1.573731,3.546037 ,3.546035,,32.0,32.0,16.0,16.0,63
cuda,1.981035,3.551295 ,3.551294,,32.0,32.0,16.0,16.0,64
cuda,1.945199,2.927862 ,2.927861,,32.0,32.0,16.0,16.0,65
cuda,1.939369,2.478022 ,2.478020,,32.0,32.0,16.0,16.0,66
cuda,1.963784,2.940614 ,2.940611,,32.0,32.0,16.0,16.0,67
cuda,1.921467,4.391207 ,4.391205,,32.0,32.0,16.0,16.0,68
cuda,2.281915,2.923188 ,2.923186,,32.0,32.0,16.0,16.0,69
cuda,1.925599,2.375942 ,2.375941,,32.0,32.0,16.0,16.0,70
cuda,1.915522,3.056684 ,3.056683,,32.0,32.0,16.0,16.0,71
cuda,1.939233,3.301852 ,3.301851,,32.0,32.0,16.0,16.0,72
cuda,1.930238,2.477244 ,2.477242,,32.0,32.0,16.0,16.0,73
cuda,1.923053,2.766674 ,2.766672,,32.0,32.0,16.0,16.0,74
cuda,1.647916,4.146756 ,4.146755,,32.0,32.0,16.0,16.0,75
cuda,1.954589,2.990753 ,2.990752,,32.0,32.0,16.0,16.0,76
cuda,1.982113,3.440549 ,3.440547,,32.0,32.0,16.0,16.0,77
cuda,1.922483,2.815169 ,2.815166,,32.0,32.0,16.0,16.0,78
cuda,1.920136,2.483428 ,2.483425,,32.0,32.0,16.0,16.0,79
cuda,1.998197,2.944991 ,2.944988,,32.0,32.0,16.0,16.0,80
cuda,1.932736,3.116185 ,3.116183,,32.0,32.0,16.0,16.0,81
cuda,1.572651,2.354718 ,2.354717,,32.0,32.0,16.0,16.0,82
cuda,1.578296,2.360561 ,2.360559,,32.0,32.0,16.0,16.0,83
cuda,1.958319,2.538248 ,2.538246,,32.0,32.0,16.0,16.0,84
cuda,1.588425,2.132767 ,2.132765,,32.0,32.0,16.0,16.0,85
cuda,1.923858,2.524242 ,2.524240,,32.0,32.0,16.0,16.0,86
cuda,1.969404,5.446830 ,5.446829,,32.0,32.0,16.0,16.0,87
cuda,1.911995,2.924959 ,2.924958,,32.0,32.0,16.0,16.0,88
cuda,2.254421,2.879580 ,2.879578,,32.0,32.0,16.0,16.0,89
cuda,1.950364,2.774312 ,2.774309,,32.0,32.0,16.0,16.0,90
cuda,1.953378,5.527811 ,5.527810,,32.0,32.0,16.0,16.0,91
cuda,1.930755,3.079283 ,3.079281,,32.0,32.0,16.0,16.0,92
cuda,1.940435,3.284146 ,3.284144,,32.0,32.0,16.0,16.0,93
cuda,1.928495,2.758656 ,2.758654,,32.0,32.0,16.0,16.0,94
cuda,1.590500,2.485982 ,2.485980,,32.0,32.0,16.0,16.0,95
cuda,1.924057,2.831718 ,2.831716,,32.0,32.0,16.0,16.0,96
cuda,1.565262,2.722657 ,2.722656,,32.0,32.0,16.0,16.0,97
cuda,1.925321,2.838715 ,2.838712,,32.0,32.0,16.0,16.0,98
cuda,1.934163,2.443042 ,2.443040,,32.0,32.0,16.0,16.0,99
cuda,1.926058,3.741786 ,3.741784,,32.0,32.0,16.0,16.0,100
cuda,1.572080,2.281759 ,2.281756,,32.0,32.0,16.0,16.0,101
cuda,1.945917,2.441673 ,2.441672,,32.0,32.0,16.0,16.0,102
cuda,1.918329,3.667813 ,3.667812,,32.0,32.0,16.0,16.0,103
cuda,1.935130,2.429556 ,2.429554,,32.0,32.0,16.0,16.0,104
cuda,1.941366,2.838004 ,2.838003,,32.0,32.0,16.0,16.0,105
cuda,1.869533,3.177407 ,3.177405,,32.0,32.0,16.0,16.0,106
cuda,1.965405,2.581326 ,2.581326,,32.0,32.0,16.0,16.0,107
cuda,1.592394,2.628596 ,2.628595,,32.0,32.0,16.0,16.0,108
cuda,1.944619,2.617908 ,2.617907,,32.0,32.0,16.0,16.0,109
cuda,1.938988,2.675785 ,2.675783,,32.0,32.0,16.0,16.0,110
cuda,1.622867,2.259368 ,2.259366,,32.0,32.0,16.0,16.0,111
cuda,1.918951,3.256918 ,3.256916,,32.0,32.0,16.0,16.0,112
cuda,1.925900,3.634485 ,3.634483,,32.0,32.0,16.0,16.0,113
cuda,1.583225,3.577902 ,3.577901,,32.0,32.0,16.0,16.0,114
cuda,1.640091,2.342224 ,2.342223,,32.0,32.0,16.0,16.0,115
cuda,1.567534,2.744213 ,2.744211,,32.0,32.0,16.0,16.0,116
cuda,1.934352,2.493554 ,2.493552,,32.0,32.0,16.0,16.0,117
cuda,1.949328,2.818433 ,2.818431,,32.0,32.0,16.0,16.0,118
cuda,1.938540,2.783217 ,2.783216,,32.0,32.0,16.0,16.0,119
cuda,1.926785,2.455202 ,2.455201,,32.0,32.0,16.0,16.0,120
cuda,1.932205,2.519269 ,2.519268,,32.0,32.0,16.0,16.0,121
cuda,1.926245,3.405535 ,3.405533,,32.0,32.0,16.0,16.0,122
cuda,1.930098,2.426508 ,2.426506,,32.0,32.0,16.0,16.0,123
cuda,1.972393,2.985863 ,2.985860,,32.0,32.0,16.0,16.0,124
