method,duration_clock,duration_mono,duration_sys,n_mpi,x_grid_cuda,y_grid_cuda,x_block_cuda,y_block_cuda,n_threads,interaction
cuda,34.792645,35.564926 ,35.564925,,1,1,4,4,,7
cuda,35.238606,35.944557 ,35.944556,,1,1,4,4,,8
cuda,34.898977,35.578345 ,35.578343,,1,1,4,4,,9
cuda,35.001996,35.695237 ,35.695236,,1,1,4,4,,10
cuda,31.931810,35.948596 ,35.948595,,1,1,4,4,,11
cuda,34.887104,36.157570 ,36.157567,,1,1,4,4,,12
cuda,34.362057,34.932231 ,34.932229,,1,1,4,4,,13
cuda,34.375706,35.067130 ,35.067128,,1,1,4,4,,14
cuda,34.819799,35.398426 ,35.398424,,1,1,4,4,,15
cuda,10.002673,10.676186 ,10.676185,,1,1,8,8,,1
cuda,9.970989,10.699865 ,10.699863,,1,1,8,8,,2
cuda,10.246489,10.932508 ,10.932506,,1,1,8,8,,3
cuda,10.222032,10.825778 ,10.825776,,1,1,8,8,,4
cuda,10.308554,10.859500 ,10.859498,,1,1,8,8,,5
cuda,10.081135,10.797888 ,10.797887,,1,1,8,8,,6
cuda,9.964339,10.675382 ,10.675380,,1,1,8,8,,7
cuda,10.222789,10.867390 ,10.867388,,1,1,8,8,,8
cuda,10.288493,10.880267 ,10.880265,,1,1,8,8,,9
cuda,10.277635,10.930014 ,10.930012,,1,1,8,8,,10
cuda,10.234790,10.909521 ,10.909519,,1,1,8,8,,11
cuda,10.233284,10.801891 ,10.801890,,1,1,8,8,,12
cuda,10.020638,10.596761 ,10.596759,,1,1,8,8,,13
cuda,10.312511,10.930551 ,10.930549,,1,1,8,8,,14
cuda,10.298965,11.039864 ,11.039862,,1,1,8,8,,15
cuda,3.928007,4.680142 ,4.680140,,1,1,16,16,,1
cuda,3.687515,4.456639 ,4.456638,,1,1,16,16,,2
cuda,3.900211,4.519338 ,4.519336,,1,1,16,16,,3
cuda,3.905965,4.559683 ,4.559681,,1,1,16,16,,4
cuda,3.880852,4.748535 ,4.748533,,1,1,16,16,,5
cuda,3.897542,4.503119 ,4.503118,,1,1,16,16,,6
cuda,3.917491,4.702012 ,4.702011,,1,1,16,16,,7
cuda,3.677654,4.345177 ,4.345174,,1,1,16,16,,8
cuda,3.652401,4.319821 ,4.319820,,1,1,16,16,,9
cuda,3.875718,4.438675 ,4.438674,,1,1,16,16,,10
cuda,3.813029,4.372298 ,4.372297,,1,1,16,16,,11
cuda,3.891061,4.710933 ,4.710932,,1,1,16,16,,12
cuda,3.958045,4.557754 ,4.557753,,1,1,16,16,,13
cuda,3.945386,4.573367 ,4.573366,,1,1,16,16,,14
cuda,3.708499,4.493014 ,4.493014,,1,1,16,16,,15
cuda,2.388618,2.951179 ,2.951177,,1,1,32,32,,1
cuda,2.423032,3.013177 ,3.013174,,1,1,32,32,,2
cuda,2.640748,3.411240 ,3.411238,,1,1,32,32,,3
cuda,2.656772,3.349106 ,3.349105,,1,1,32,32,,4
cuda,2.667029,3.472099 ,3.472096,,1,1,32,32,,5
cuda,2.623150,3.271862 ,3.271859,,1,1,32,32,,6
cuda,2.358289,2.896838 ,2.896836,,1,1,32,32,,7
cuda,2.375222,2.967598 ,2.967596,,1,1,32,32,,8
cuda,2.375358,2.923880 ,2.923878,,1,1,32,32,,9
cuda,2.375140,2.918264 ,2.918262,,1,1,32,32,,10
cuda,2.362251,2.932641 ,2.932639,,1,1,32,32,,11
cuda,2.364564,2.897530 ,2.897527,,1,1,32,32,,12
cuda,2.416696,3.085008 ,3.085006,,1,1,32,32,,13
cuda,2.656603,3.307298 ,3.307295,,1,1,32,32,,14
cuda,2.366114,2.997552 ,2.997549,,1,1,32,32,,15
cuda,131.829315,132.613853 ,132.613851,,2,2,1,1,,1
cuda,131.794536,132.395752 ,132.395750,,2,2,1,1,,2
cuda,131.589359,132.316840 ,132.316838,,2,2,1,1,,3
cuda,131.621949,132.255103 ,132.255101,,2,2,1,1,,4
cuda,131.539969,132.143107 ,132.143104,,2,2,1,1,,5
cuda,131.498246,132.064751 ,132.064750,,2,2,1,1,,6
cuda,131.508999,132.164022 ,132.164021,,2,2,1,1,,7
cuda,131.749537,132.382727 ,132.382725,,2,2,1,1,,8
cuda,131.810272,132.505088 ,132.505086,,2,2,1,1,,9
cuda,131.590758,132.263562 ,132.263560,,2,2,1,1,,10
cuda,130.882245,131.480468 ,131.480466,,2,2,1,1,,11
cuda,131.554872,132.809248 ,132.809246,,2,2,1,1,,12
cuda,131.284201,131.855166 ,131.855163,,2,2,1,1,,13
cuda,131.234351,132.030416 ,132.030413,,2,2,1,1,,14
cuda,131.507420,132.250552 ,132.250551,,2,2,1,1,,15
cuda,34.459989,35.176760 ,35.176760,,2,2,2,2,,1
cuda,35.022169,35.805679 ,35.805677,,2,2,2,2,,2
cuda,34.856107,35.496254 ,35.496253,,2,2,2,2,,3
cuda,34.704151,35.357324 ,35.357322,,2,2,2,2,,4
cuda,34.859882,35.486905 ,35.486903,,2,2,2,2,,5
cuda,34.904318,35.642140 ,35.642139,,2,2,2,2,,6
cuda,35.077533,35.611730 ,35.611727,,2,2,2,2,,7
cuda,34.868916,35.638740 ,35.638738,,2,2,2,2,,8
cuda,34.822308,35.570666 ,35.570666,,2,2,2,2,,9
cuda,34.661882,35.423808 ,35.423806,,2,2,2,2,,10
