size	region	delta_x	delta_y	duration_clock	duration_mono	duration_sys	threads	method	i_o
256	Full Picture	4.0	4.0	0.017798	0.021316	0.021313	4	pth	0
256	Full Picture	4.0	4.0	0.019156	0.033331	0.033327	4	pth	0
256	Full Picture	4.0	4.0	0.019323	0.049342	0.049339	4	pth	0
256	Full Picture	4.0	4.0	0.021496	0.022087	0.022084	8	pth	0
256	Full Picture	4.0	4.0	0.019701	0.021693	0.02169	8	pth	0
256	Full Picture	4.0	4.0	0.020199	0.02557	0.025567	8	pth	0
256	Full Picture	4.0	4.0	0.019075	0.029367	0.029364	8	pth	0
256	Full Picture	4.0	4.0	0.020259	0.019275	0.019271	8	pth	0
256	Full Picture	4.0	4.0	0.019034	0.027009	0.027006	8	pth	0
256	Full Picture	4.0	4.0	0.018848	0.030031	0.030028	8	pth	0
256	Full Picture	4.0	4.0	0.019411	0.031051	0.031048	8	pth	0
256	Full Picture	4.0	4.0	0.019091	0.02605	0.026046	8	pth	0
256	Full Picture	4.0	4.0	0.01911	0.020224	0.020222	8	pth	0
256	Full Picture	4.0	4.0	0.024052	0.021965	0.021962	16	pth	0
256	Full Picture	4.0	4.0	0.02081	0.02885	0.028846	16	pth	0
256	Full Picture	4.0	4.0	0.021939	0.029014	0.02901	16	pth	0
256	Full Picture	4.0	4.0	0.022682	0.024626	0.024624	16	pth	0
256	Full Picture	4.0	4.0	0.019972	0.022851	0.022847	16	pth	0
256	Full Picture	4.0	4.0	0.020105	0.01981	0.019808	16	pth	0
256	Full Picture	4.0	4.0	0.020168	0.030554	0.030551	16	pth	0
256	Full Picture	4.0	4.0	0.021074	0.034132	0.034129	16	pth	0
256	Full Picture	4.0	4.0	0.020618	0.022735	0.022733	16	pth	0
256	Full Picture	4.0	4.0	0.020737	0.030911	0.030908	16	pth	0
256	Full Picture	4.0	4.0	0.022341	0.030866	0.030863	32	pth	0
256	Full Picture	4.0	4.0	0.022757	0.034169	0.034166	32	pth	0
256	Full Picture	4.0	4.0	0.024773	0.027788	0.027785	32	pth	0
256	Full Picture	4.0	4.0	0.022678	0.023493	0.02349	32	pth	0
256	Full Picture	4.0	4.0	0.020871	0.029928	0.029925	32	pth	0
256	Full Picture	4.0	4.0	0.022331	0.034056	0.034054	32	pth	0
256	Full Picture	4.0	4.0	0.022816	0.030253	0.03025	32	pth	0
256	Full Picture	4.0	4.0	0.021764	0.030159	0.030157	32	pth	0
