i_o	threads	method	region	size	delta_x	delta_y	mean_duration_clock	mean_duration_mono	mean_duration_sys	ci_duration_clock	ci_duration_mono	ci_duration_sys	repetitions
0	8	pth	Full Picture	1024	4.0	4.0	0.3156115	0.21311170000000002	0.21310749999999995	0.04740111599703113	0.11971156571737444	0.11971297704848878	10
1	8	pth	Full Picture	1024	4.0	4.0	0.3156115	0.21311170000000002	0.21310749999999995	0.04740111599703113	0.11971156571737444	0.11971297704848878	10
0	16	pth	Full Picture	1024	4.0	4.0	0.319289	0.11901779999999999	0.11901359999999998	0.04469267876793543	0.05627308485771876	0.056273101874427287	10
1	16	pth	Full Picture	1024	4.0	4.0	0.319289	0.11901779999999999	0.11901359999999998	0.04469267876793543	0.05627308485771876	0.056273101874427287	10
0	32	pth	Full Picture	1024	4.0	4.0	0.30619309999999994	0.0784724	0.0784683	0.018986133988505755	0.04878772951698663	0.04878922376284538	10
1	32	pth	Full Picture	1024	4.0	4.0	0.30619309999999994	0.0784724	0.0784683	0.018986133988505755	0.04878772951698663	0.04878922376284538	10
0	1	pth	Full Picture	2048	4.0	4.0	1.4221500999999996	1.7322718	1.7322672000000001	0.26058849477550894	0.6487460211772973	0.6487468630106135	10
1	1	pth	Full Picture	2048	4.0	4.0	1.4221500999999996	1.7322718	1.7322672000000001	0.26058849477550894	0.6487460211772973	0.6487468630106135	10
0	2	pth	Full Picture	2048	4.0	4.0	1.1116595	0.7920707999999999	0.7920672000000001	0.10353295008586592	0.6005268172899436	0.6005268723841777	10
1	2	pth	Full Picture	2048	4.0	4.0	1.1116595	0.7920707999999999	0.7920672000000001	0.10353295008586592	0.6005268172899436	0.6005268723841777	10
0	4	pth	Full Picture	2048	4.0	4.0	1.1294684	0.590601	0.5905969000000001	0.09636971433741667	0.1061517845437242	0.10615200810508751	10
1	4	pth	Full Picture	2048	4.0	4.0	1.1294684	0.590601	0.5905969000000001	0.09636971433741667	0.1061517845437242	0.10615200810508751	10
0	8	pth	Full Picture	2048	4.0	4.0	1.2130225000000001	0.7547742000000001	0.7547702	0.1596243627268683	0.45142048035557236	0.4514204969312115	10
1	8	pth	Full Picture	2048	4.0	4.0	1.2130225000000001	0.7547742000000001	0.7547702	0.1596243627268683	0.45142048035557236	0.4514204969312115	10
0	16	pth	Full Picture	2048	4.0	4.0	1.2301807	0.5277461	0.5277426000000001	0.11277627299445968	0.28801347579740344	0.28801501547031766	10
1	16	pth	Full Picture	2048	4.0	4.0	1.2301807	0.5277461	0.5277426000000001	0.11277627299445968	0.28801347579740344	0.28801501547031766	10
0	32	pth	Full Picture	2048	4.0	4.0	1.2349639	0.22671860000000002	0.22671370000000005	0.060280254481142354	0.044852288752494425	0.04485114765923208	10
1	32	pth	Full Picture	2048	4.0	4.0	1.2349639	0.22671860000000002	0.22671370000000005	0.060280254481142354	0.044852288752494425	0.04485114765923208	10
0	1	pth	Full Picture	4096	4.0	4.0	4.8490447	4.8975212	4.8975175	1.1299024850811399	1.1254996437116527	1.1254991550734683	10
1	1	pth	Full Picture	4096	4.0	4.0	4.8490447	4.8975212	4.8975175	1.1299024850811399	1.1254996437116527	1.1254991550734683	10
0	2	pth	Full Picture	4096	4.0	4.0	4.621135300000001	2.7814441000000003	2.7814403	0.5849612782120146	1.6815125287023283	1.6815122830802551	10
1	2	pth	Full Picture	4096	4.0	4.0	4.621135300000001	2.7814441000000003	2.7814403	0.5849612782120146	1.6815125287023283	1.6815122830802551	10
0	4	pth	Full Picture	4096	4.0	4.0	4.668742400000001	2.7524363999999997	2.7524324	0.6268130348673027	1.3529579022687948	1.352957593500766	10
1	4	pth	Full Picture	4096	4.0	4.0	4.668742400000001	2.7524363999999997	2.7524324	0.6268130348673027	1.3529579022687948	1.352957593500766	10
0	8	pth	Full Picture	4096	4.0	4.0	4.8230488	1.8047098	1.8047053000000002	0.7799939401843905	0.35306962253664786	0.3530694521471269	10
1	8	pth	Full Picture	4096	4.0	4.0	4.8230488	1.8047098	1.8047053000000002	0.7799939401843905	0.35306962253664786	0.3530694521471269	10
0	16	pth	Full Picture	4096	4.0	4.0	4.9892313	1.3126384999999998	1.3126344	0.44597985577425847	0.27824498904132633	0.2782447792216791	10
1	16	pth	Full Picture	4096	4.0	4.0	4.9892313	1.3126384999999998	1.3126344	0.44597985577425847	0.27824498904132633	0.2782447792216791	10
0	32	pth	Full Picture	4096	4.0	4.0	4.895974000000001	0.8325003000000001	0.8324959	0.21003491976454836	0.389693075368431	0.3896932311670903	10
1	32	pth	Full Picture	4096	4.0	4.0	4.895974000000001	0.8325003000000001	0.8324959	0.21003491976454836	0.389693075368431	0.3896932311670903	10
0	1	pth	Full Picture	8192	4.0	4.0	19.3802168	19.795535999999995	19.795531999999998	3.9745373679986824	4.120510746197787	4.1205104526866085	10
