i_o	threads	method	region	size	delta_x	delta_y	mean_duration_clock	mean_duration_mono	mean_duration_sys	ci_duration_clock	ci_duration_mono	ci_duration_sys	repetitions
1	32	seq	Full Picture	256	4.0	4.0	0.0230242	0.0230162	0.023014899999999998	0.00015762754953793336	0.00015752190484712522	0.0001576320175598851	10
0	1	seq	Full Picture	512	4.0	4.0	0.11282835	0.11285929999999997	0.11285750000000001	0.04132577110210253	0.041412168004033426	0.041413577624374656	10
1	1	seq	Full Picture	512	4.0	4.0	0.11282835	0.11285929999999997	0.11285750000000001	0.04132577110210253	0.041412168004033426	0.041413577624374656	10
0	2	seq	Full Picture	512	4.0	4.0	0.09234759999999999	0.0923371	0.09233430000000001	0.000349521976139476	0.00034627215215780806	0.000345992959748543	10
1	2	seq	Full Picture	512	4.0	4.0	0.09234759999999999	0.0923371	0.09233430000000001	0.000349521976139476	0.00034627215215780806	0.000345992959748543	10
0	4	seq	Full Picture	512	4.0	4.0	0.09242059999999999	0.09316139999999999	0.09315860000000001	0.0006801191841173463	0.004612413510813813	0.004612279137093844	10
1	4	seq	Full Picture	512	4.0	4.0	0.09242059999999999	0.09316139999999999	0.09315860000000001	0.0006801191841173463	0.004612413510813813	0.004612279137093844	10
0	8	seq	Full Picture	512	4.0	4.0	0.09256059999999999	0.09256280000000001	0.0925601	0.0005838711005997475	0.000579809536788686	0.000579714304026852	10
1	8	seq	Full Picture	512	4.0	4.0	0.09256059999999999	0.09256280000000001	0.0925601	0.0005838711005997475	0.000579809536788686	0.000579714304026852	10
0	16	seq	Full Picture	512	4.0	4.0	0.09245649999999998	0.0924439	0.09244149999999998	0.0007896225966033838	0.0007887573223636161	0.0007886008031669502	10
1	16	seq	Full Picture	512	4.0	4.0	0.09245649999999998	0.0924439	0.09244149999999998	0.0007896225966033838	0.0007887573223636161	0.0007886008031669502	10
